Tensão Média,Erro Absoluto,Erro Percentual,Quantidade de Amostras,Quantidade de Amostras por segundo (SPS),Canal
1.612397,0.037603,2.279,150,50,AIN0
1.613316,0.036684,2.2233,150,50,AIN1
1.604181,0.045819,2.7769,300,100,AIN0
1.605101,0.044899,2.7211,300,100,AIN1
1.618702,0.031298,1.8969,1500,500,AIN0
1.618302,0.031698,1.9211,1500,500,AIN1
1.612462,0.037538,2.2751,3000,1000,AIN0
1.61324,0.03676,2.2279,3000,1000,AIN1
1.610712,0.039288,2.3811,6000,2000,AIN0
1.611369,0.038631,2.3413,6000,2000,AIN1
1.612674,0.037326,2.2622,11250,3750,AIN0
1.614955,0.035045,2.1239,11250,3750,AIN1
1.607407,0.042593,2.5814,22500,7500,AIN0
1.608299,0.041701,2.5273,22500,7500,AIN1
1.615053,0.034947,2.118,45000,15000,AIN0
1.615623,0.034377,2.0834,45000,15000,AIN1
